file_name,total_return,volatility,sharpe_ratio,uptrend,volume_trend,score,accuracy_metrics,recommendation,accuracy_pct,mae,rmse
509243.BO.csv,121.74642508370536,0.5076252443322372,239.8352454749535,True,0.7997758386037948,120.92912125982858,"{'mae': 26.794104477671684, 'rmse': 68.0549388743535, 'prediction_accuracy': 50.25163563160544}",STRONG BUY,50.25163563160544,26.794104477671684,68.0549388743535
500253.BO.csv,70.71328575676758,0.4289723119307959,164.84347308684906,False,2.204146930418151,77.93835622876175,"{'mae': 5.936170072713973, 'rmse': 10.013670007004917, 'prediction_accuracy': 47.923396400553756}",STRONG BUY,47.923396400553756,5.936170072713973,10.013670007004917
3MINDIA.NS.csv,61.427775065104164,0.34838667047961164,176.32068121475118,False,0.6298686966024775,77.53030126012726,"{'mae': 177.1139335758759, 'rmse': 377.3677175453391, 'prediction_accuracy': 51.146424517593644}",STRONG BUY,51.146424517593644,177.1139335758759,377.3677175453391
3MINDIA.BO.csv,39.044095913750205,0.378545125480368,103.142514024461,False,1.1548696114954762,46.67587953398793,"{'mae': 166.0216665932778, 'rmse': 365.7070583497911, 'prediction_accuracy': 51.62439740096416}",STRONG BUY,51.62439740096416,166.0216665932778,365.7070583497911
500084.BO.csv,28.46161238312436,0.4799532238376453,59.300804681649815,True,1.1696489241223103,29.49185125015692,"{'mae': 12.02152518424371, 'rmse': 18.764501505971747, 'prediction_accuracy': 47.89838337182448}",STRONG BUY,47.89838337182448,12.02152518424371,18.764501505971747
511724.BO.csv,14.113636363636363,0.6944068480719874,20.32473672001178,True,1.0627382393829319,12.049149385396372,"{'mae': 1.7847099749960027, 'rmse': 3.5278695591710867, 'prediction_accuracy': 31.34953897736798}",STRONG BUY,31.34953897736798,1.7847099749960027,3.5278695591710867
20MICRONS.NS.csv,0.9633943926106839,0.5109326793607004,1.885560332167678,False,2.2961889180162474,1.151025856694577,"{'mae': 1.3454981025473298, 'rmse': 2.383148455516786, 'prediction_accuracy': 47.962052002810964}",STRONG BUY,47.962052002810964,1.3454981025473298,2.383148455516786
20MICRONS.BO.csv,0.9177631568628007,0.5194790713904884,1.766699001763875,False,0.8018073641670409,0.977295699690987,"{'mae': 1.3450945554508684, 'rmse': 2.3830632861986913, 'prediction_accuracy': 49.841827768014056}",STRONG BUY,49.841827768014056,1.3450945554508684,2.3830632861986913
21STCENMGM.BO.csv,4.824999809265136,0.9128310057922533,5.285753637473653,False,0.0,0.0,"{'mae': 1.386764259433036, 'rmse': 2.6907508145686205, 'prediction_accuracy': 40.08572073088202}",HOLD,40.08572073088202,1.386764259433036,2.6907508145686205
507948.BO.csv,1.562380092845045,0.46096461103200287,3.3893710177603538,True,0.0,0.0,"{'mae': 0.8520424727460747, 'rmse': 1.304517398498316, 'prediction_accuracy': 15.83011583011583}",HOLD,15.83011583011583,0.8520424727460747,1.304517398498316
523449.BO.csv,-0.4340813920466402,0.610213386436586,-0.7113599958557291,False,0.0,0.0,"{'mae': 3.3380823663149415, 'rmse': 4.661297999454357, 'prediction_accuracy': 42.857142857142854}",HOLD,42.857142857142854,3.3380823663149415,4.661297999454357
5PAISA.NS.csv,-0.23327060779834216,0.5745398396625873,-0.4060129371277997,False,0.9081171965002958,-0.1243004046076472,"{'mae': 12.092764585908826, 'rmse': 16.69906167991403, 'prediction_accuracy': 45.02446982055465}",SELL,45.02446982055465,12.092764585908826,16.69906167991403
63MOONS.BO.csv,-0.5251583774793686,0.7426932744968214,-0.707099950292624,False,4.6422960631705825,-0.22219333607953462,"{'mae': 31.246625821295726, 'rmse': 61.602366552581515, 'prediction_accuracy': 46.864217576618636}",SELL,46.864217576618636,31.246625821295726,61.602366552581515
5PAISA.BO.csv,-0.5290941340174552,0.5986221275506886,-0.8838532851805648,False,0.8413793103448276,-0.3926557081266687,"{'mae': 12.615676608560133, 'rmse': 18.201839918079592, 'prediction_accuracy': 46.32952691680261}",STRONG SELL,46.32952691680261,12.615676608560133,18.201839918079592
3IINFOTECH.BO.csv,-0.7677946230571528,0.618949102832344,-1.2404810339714265,False,2.5654508377129845,-0.4792621594142891,"{'mae': 0.3042580958871425, 'rmse': 0.48516325284133244, 'prediction_accuracy': 46.22107969151671}",STRONG SELL,46.22107969151671,0.3042580958871425,0.48516325284133244
63MOONS.NS.csv,-0.8424944550081247,0.618000992979331,-1.3632574455043018,False,5.111290728167547,-0.5459750156545404,"{'mae': 38.951722827699335, 'rmse': 72.5216318948395, 'prediction_accuracy': 47.95058955642897}",STRONG SELL,47.95058955642897,38.951722827699335,72.5216318948395
3PLAND.NS.csv,-0.6201550201343572,0.5880921135413724,-1.0545202118081611,False,0.012899896800825593,-0.5631280819161087,"{'mae': 0.5436232645611021, 'rmse': 0.854792212262261, 'prediction_accuracy': 34.27689140504375}",STRONG SELL,34.27689140504375,0.5436232645611021,0.854792212262261
532746.BO.csv,-0.9355742311714287,0.5481423413434449,-1.706808908208815,True,0.5296986307449901,-0.6333025018567169,"{'mae': 2.6968822630133302, 'rmse': 4.7209606027671525, 'prediction_accuracy': 45.0850989927058}",STRONG SELL,45.0850989927058,2.6968822630133302,4.7209606027671525
3IINFOTECH.NS.csv,-0.958930074421145,0.5779093578728495,-1.6593087849463877,False,0.7173731136191166,-0.8096273538904627,"{'mae': 1.8127028678792654, 'rmse': 3.5809864068327424, 'prediction_accuracy': 44.57636265515381}",STRONG SELL,44.57636265515381,1.8127028678792654,3.5809864068327424
21STCENMGM.NS.csv,-0.6857562393828458,0.24625918558779475,-2.7846930369156295,False,0.13711748574413443,-1.0959986582534138,"{'mae': 0.9699216317632058, 'rmse': 1.3209212410054285, 'prediction_accuracy': 30.313588850174217}",STRONG SELL,30.313588850174217,0.9699216317632058,1.3209212410054285
